y_x,area
12970_28124,435708.12694659276
12970_28127,659645.2425953173
12970_28130,196841.67179898178
12970_28131,437986.3989477285
12970_28132,1167151.0067403915
12971_28122,137925.71633705852
12971_28123,902485.3644214685
12971_28124,420233.8118259482
12971_28131,427175.38835862104
12971_28132,858971.6831208958
12972_28122,580225.0514879047
12972_28123,634675.5946043594
12972_28124,542856.9734448
12973_28122,1233498.6425654702
12973_28123,713816.5391472537
12974_28123,15425.283846521455
12725_28032,0.0
12725_28033,0.0
12726_28030,0.0
12726_28031,0.0
12726_28032,0.0
12726_28033,0.0
12726_28034,34.36717176125452
12726_28035,376.5467901065737
12726_28052,1529.1150374232789
12726_28053,6838.193016216688
12727_28029,0.0
12727_28030,0.0
12727_28031,0.0
12727_28032,0.0
12727_28033,0.0
12727_28034,7514.093358882205
12727_28035,105.50985386021986
12727_28051,710.0412260641084
12727_28052,3865.0753982160973
12727_28053,4350.607042348712
12727_28054,1711.1440942868992
12728_28029,0.0
12728_28030,947.4024803266756
12728_28031,0.0
12728_28032,0.0
12728_28033,401.8474679655809
12728_28034,10049.875241915026
12728_28035,85.68054078527595
12728_28036,353.3517759767768
12728_28051,1815.5055212301972
12728_28052,4420.434864395364
12728_28053,944.1799836482852
12728_28054,4768.074986687562
12728_28055,17590.102101923683
12729_28029,912.4782595695019
12729_28030,9501.604932990756
12729_28031,5346.158988521188
12729_28032,0.0
12729_28033,0.0
12729_28034,1325.7503003586369
12729_28035,4769.031452894074
12729_28036,0.0
12729_28037,0.0
12729_28046,2760.466377387011
12729_28047,0.0
12729_28048,0.0
12729_28050,0.0
12729_28051,147.99459391145922
12729_28052,3889.241230752275
12729_28053,0.0
12729_28054,9808.5375148085
12729_28055,6688.7911923171305
12729_28056,9195.897782526563
12729_28057,4512.115461557228
12730_28029,0.0
12730_28030,278.32413384075534
12730_28031,7449.957982136943
12730_28032,8688.277764088964
12730_28033,0.0
12730_28034,8463.830657552811
12730_28035,10269.485193045417
12730_28036,4945.233468953113
12730_28037,1478.0584406555765
12730_28045,512.7835225039294
12730_28046,3166.490113485088
12730_28047,1067.4444620413578
12730_28048,0.0
12730_28049,0.0
12730_28050,0.0
12730_28051,693.0668749985747
12730_28052,0.0
12730_28053,0.0
12730_28054,0.0
12730_28055,329.5734407478044
12730_28056,25621.767418520543
12730_28057,16378.528136826812
12730_28058,721.159413407845
12730_28060,0.0
12730_28061,25546.43576458459
12730_28062,93339.10089350694
12730_28063,5719.053579908086
12730_28064,6931.8636555919775
12731_28011,18045.805707166986
12731_28029,0.0
12731_28030,0.0
12731_28031,0.0
12731_28032,2192.7385135254635
12731_28033,2912.1654474191296
12731_28034,1630.9349129918357
12731_28035,1687.1380028406409
12731_28036,0.0
12731_28044,1951.628688590637
12731_28045,87.95452505916424
12731_28046,6033.384327184022
12731_28047,850.8421931311141
12731_28048,4506.737339917762
12731_28049,319.47800953229614
12731_28050,1228.6899691536025
12731_28051,0.0
12731_28052,0.0
12731_28053,0.0
12731_28054,0.0
12731_28055,4406.773207841659
12731_28056,14369.709064240042
12731_28057,14203.820192022644
12731_28058,2429.772473636447
12731_28059,1111.859855660342
12731_28060,2541.162421729235
12731_28061,58436.962518490225
12731_28062,54010.17817960336
12731_28063,983.1739033230093
12732_28011,20645.783727807247
12732_28029,212.39929047270908
12732_28030,0.0
12732_28031,0.0
12732_28032,0.0
12732_28033,2913.864435514762
12732_28034,8108.764415328684
12732_28035,0.0
12732_28036,0.0
12732_28037,834.496490267881
12732_28042,838.5545465865064
12732_28043,10447.352824041778
12732_28044,4920.7484864240805
12732_28045,390.2681690055626
12732_28046,6590.408555007388
12732_28047,12844.212000812375
12732_28048,6133.209434503476
12732_28049,2048.195554544086
12732_28050,2977.709614593889
12732_28051,0.0
12732_28052,747.7162684910202
12732_28053,18528.280997062637
12732_28054,2089.699870405697
12732_28055,7410.648240840152
12732_28056,15563.4367281816
12732_28057,25566.359878176703
12732_28058,40201.60399090863
12732_28059,46575.084544313584
12732_28060,78932.94324043166
12732_28061,40180.59714036151
12732_28062,2919.3436719236147
12733_28010,7443.877306474445
12733_28011,26163.926639311474
12733_28029,83.59664160872875
12733_28030,3914.314222882013
12733_28031,0.0
12733_28032,0.0
12733_28033,1566.718450230325
12733_28034,1357.349465143554
12733_28035,0.0
12733_28036,1473.3378264827707
12733_28037,311.6005391256379
12733_28038,0.0
12733_28039,226.79868515689427
12733_28040,11045.252102878212
12733_28041,11839.834197166245
12733_28042,544.2883512034508
12733_28043,2396.309387841085
12733_28044,7440.725019181079
12733_28045,1863.3690798290381
12733_28046,5894.171238298861
12733_28047,0.0
12733_28048,176.0632619280786
12733_28049,0.0
12733_28050,0.0
12733_28051,0.0
12733_28052,227037.0142021985
12733_28053,153817.69760420386
12733_28054,35817.41695146871
12733_28055,24840.26446475945
12733_28056,41714.54852358657
12733_28057,19231.720135208805
12733_28058,59294.00808650688
12733_28059,24921.971708482866
